               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074529,            0.026486,            0.024778,             0.49711,             0.59417,             0.50637,              0.1782,            0.055011,            0.010627,           0.0053593,            0.070044,           0.0033284,           0.0033284
                   1,            0.055113,            0.018429,           0.0083301,             0.80891,              0.7719,             0.83272,              0.3777,            0.039228,           0.0093217,           0.0037865,            0.039715,            0.006332,            0.006332
                   2,            0.050735,             0.01691,           0.0071015,             0.88846,             0.76716,               0.853,             0.28024,            0.046379,           0.0089399,           0.0030617,           0.0090549,           0.0090056,           0.0090056
                   3,            0.047662,            0.016773,           0.0064175,             0.85361,             0.78495,             0.84553,             0.35433,            0.040178,           0.0091545,           0.0033598,            0.008515,            0.008515,            0.008515
                   4,             0.04477,            0.016378,            0.005785,             0.91852,             0.87067,             0.92533,             0.46217,            0.035077,           0.0088845,           0.0022443,            0.008515,            0.008515,            0.008515
                   5,            0.042957,            0.016018,           0.0048305,             0.92712,             0.89669,             0.93257,             0.39576,            0.039785,           0.0086272,           0.0019669,             0.00802,             0.00802,             0.00802
                   6,             0.04152,            0.015491,           0.0041689,             0.93613,             0.91783,             0.93904,             0.41158,            0.037232,           0.0082991,           0.0020234,            0.007525,            0.007525,            0.007525
                   7,            0.040375,            0.015598,           0.0040582,             0.92325,             0.89464,             0.92769,             0.35639,            0.041353,           0.0083132,           0.0020753,             0.00703,             0.00703,             0.00703
                   8,            0.039125,            0.014936,           0.0033689,             0.93818,             0.90739,             0.94387,             0.40888,            0.038694,           0.0082849,           0.0021279,            0.006535,            0.006535,            0.006535
                   9,            0.038926,            0.014777,           0.0035083,             0.92163,              0.9039,             0.93434,             0.42347,            0.037132,           0.0084271,           0.0022196,             0.00604,             0.00604,             0.00604
                  10,            0.037771,            0.014602,           0.0033686,             0.94399,             0.92241,             0.94669,             0.46771,            0.033605,           0.0081005,           0.0015946,            0.005545,            0.005545,            0.005545
                  11,            0.037628,            0.014468,           0.0032771,             0.92813,             0.91817,             0.93912,             0.43288,            0.036275,           0.0083583,           0.0017397,             0.00505,             0.00505,             0.00505
                  12,            0.036589,            0.014256,           0.0027955,             0.93667,              0.9189,             0.94396,             0.45622,            0.034364,           0.0083182,           0.0017654,            0.004555,            0.004555,            0.004555
                  13,            0.036543,            0.014038,           0.0027716,             0.92777,             0.91595,             0.94286,             0.43022,            0.035949,           0.0083824,           0.0015778,             0.00406,             0.00406,             0.00406
                  14,            0.035777,            0.014034,           0.0026282,             0.93461,             0.91483,             0.94253,             0.45076,            0.035091,           0.0083985,           0.0021542,            0.003565,            0.003565,            0.003565
                  15,             0.03469,            0.013898,           0.0023456,             0.93331,             0.91567,             0.94618,             0.42943,            0.036096,           0.0085924,           0.0015899,             0.00307,             0.00307,             0.00307
                  16,            0.033977,            0.013651,           0.0023468,             0.94586,             0.92696,             0.95301,             0.42806,             0.03587,            0.008675,           0.0016971,            0.002575,            0.002575,            0.002575
                  17,             0.03365,            0.013754,           0.0022157,             0.91776,              0.9012,              0.9356,             0.43598,            0.035068,           0.0085903,           0.0020568,             0.00208,             0.00208,             0.00208
                  18,            0.032848,            0.013167,           0.0022279,             0.91647,             0.90695,              0.9437,              0.4391,             0.03499,           0.0086747,           0.0016578,            0.001585,            0.001585,            0.001585
                  19,            0.032561,            0.013345,           0.0020497,             0.93797,             0.91087,             0.95057,             0.45632,             0.03371,           0.0086747,           0.0015838,             0.00109,             0.00109,             0.00109
